   2.99999989E-08   4.5427879310412999E-009
   5.99999979E-08   4.5427879310412958E-009
   9.00000003E-08   4.5427879310412982E-009
   1.19999996E-07   4.5427879310413032E-009
   1.50000005E-07   4.5427879310413007E-009
   1.80000001E-07   4.5427879310412982E-009
   2.09999996E-07   4.5427879310413024E-009
   2.39999991E-07   4.5427879310413082E-009
   2.70000015E-07   4.5427879310413107E-009
   3.00000011E-07   4.5427879310413082E-009
   3.30000006E-07   4.5427879310413040E-009
   3.60000001E-07   4.5427879310413090E-009
   3.89999997E-07   4.5427879310413131E-009
   4.19999992E-07   4.5427879310413181E-009
